locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"A Narayanapura, Mahadevapura",Bangalore,east,under_construction,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,3.17,purple,4.05,yes,no,False,Singayyanapalya,0.67,3-6km,53,Krishnarajapuram,1.86,23.01,23,49,10,12.9912395,77.6897334,12.93,,Karnataka,2,2022-06-20,2022-07-04,high,Mahadevapura,place/suburb,Mahadevapura,2022,2022-04-13
Aarna Enclave,Bangalore,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,2022-06-28,2022-06-28,none,,,,2022,2022-04-13
"Abbiareddy Layout, Kaggadasapura",Bangalore,east,under_construction,Baiyappanahalli,yes,Bagmane Tech Park,1.68,purple,2.99,yes,no,False,Benniganahalli,1.94,0-3km,73,Krishnarajapuram,2.09,24.16,30,60,20,12.9819618,77.6784643,11.63,Kaggadasapura,Karnataka,1,2022-06-20,2022-06-20,high,Kaggadasapura,place/quarter,Kaggadasapura,2022,2022-04-13
Abbigere,Bangalore,north,none,Dasarahalli,yes,Peenya Industrial Area,4.47,green,3.87,no,no,True,Dasarahalli,3.87,3-6km,0,Chikka Banavara,2.52,23.6,7,7,2,13.0742739,77.5288653,11.78,Kammagondanahalli,Karnataka,3,2022-05-14,2022-06-27,high,Abbigere,place/quarter,Abbigere,2022,2022-04-13
"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",Bangalore,north,none,Peenya,no,Peenya Industrial Area,6.27,green,5.53,no,no,True,Peenya,5.53,6km+,5,Kodigehalli,2.47,20.96,27,34,7,13.0766407,77.5577315,11.21,Singapura,Karnataka,1,2022-05-17,2022-05-17,high,Vidyaranyapura,place/suburb,Vidyaranyapura,2022,2022-04-13
Adugodi,Bangalore,south,none,Lalbagh,yes,IBC Knowledge Park,1.44,green,3.14,no,no,True,BTM Layout,3.05,0-3km,101,Bangalore Cantonment,5.65,30.1,103,82,27,12.9440234,77.6088867,5.46,A Adugodi,Karnataka,2,2022-06-22,2022-06-27,high,Adugodi,place/quarter,Adugodi,2022,2022-04-13
Aduru,Bangalore,east,none,Baiyappanahalli,no,RMZ Infinity Old Madras Road,8.41,purple,9.23,no,no,True,Singayyanapalya,6.74,6km+,1,Channasandra,6.71,15.75,7,2,0,13.0559357,77.7051427,16.97,,Karnataka,1,2022-06-08,2022-06-08,high,Aduru,place/village,Aduru,2022,2022-04-13
"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,south,under_construction,Yelachenahalli,yes,Electronic City,3.89,green,8.71,yes,no,False,Singasandra,0.45,3-6km,31,Carmelaram,6.82,35.74,34,16,8,12.8810223,77.6490068,13.57,Bandepalya,Karnataka,3,2022-05-10,2022-07-06,high,Singasandra,place/quarter,Singasandra,2022,2022-04-13
Agrahara Layout,Bangalore,east,none,Indiranagar,yes,Embassy Golf Links,0.96,purple,2.93,no,no,True,Indiranagar,2.93,0-3km,123,Baiyyappanahalli Junction,4.06,27.67,42,52,36,12.954706,77.6506725,8.94,Konena Agrahara,Karnataka,1,2022-06-23,2022-06-23,high,SR Layout,place/neighbourhood,Agrahara Layout,2022,2022-04-13
"Ags Layout, Hebbal",Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,2.42,green,4.85,no,no,True,Yeshwantpur,4.85,0-3km,22,Hebbal,0.78,21.62,45,38,28,13.0382184,77.5919,7.2,Bengaluru,Karnataka,1,2022-05-27,2022-05-27,high,Hebbal,place/suburb,Hebbal,2022,2022-04-13
Airport Road,Bangalore,east,operational,Trinity,yes,Embassy Golf Links,3.08,purple,0.79,yes,yes,True,Trinity,0.79,3-6km,93,Bengaluru East,3.83,27.28,104,68,40,12.9668192,77.6206583,5.46,Agaram,Karnataka,1,2022-05-27,2022-05-27,low,HAL Old Airport Road,highway/primary,Airport Road,2022,2022-04-13
Akshayanagar,Bangalore,east,under_construction,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,3.75,purple,4.62,yes,no,False,Krishnarajapura,2.26,3-6km,9,Krishnarajapuram,2.27,19.95,35,40,11,13.0195427,77.6831272,13.02,K Chennasandra,Karnataka,1,2022-06-12,2022-06-12,high,Akshaya Nagar,place/neighbourhood,Akshayanagar,2022,2022-04-13
"Ambedkar Colony, Yelahanka",Bangalore,north,none,Yeshwantpur,no,Karle Town Centre,6.58,green,9.97,no,no,True,Yeshwantpur,9.97,6km+,7,Yelahanka Junction,0.68,16.05,30,52,10,13.1006982,77.5963454,14.05,Yelahanka Old Town,Karnataka,1,2022-07-06,2022-07-06,high,Yelahanka,place/suburb,Yelahanka,2022,2022-04-13
Amrutahalli,Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,2.84,green,7.29,no,no,True,Yeshwantpur,7.29,0-3km,20,Kodigehalli,2.72,18.54,24,55,22,13.0662319,77.6007646,10.45,Amruthahalli,Karnataka,2,2022-05-14,2022-06-12,high,Amrutahalli,place/quarter,Amrutahalli,2022,2022-04-13
"Ananda Puram, Jeevan Bima Nagar",Bangalore,east,operational,Indiranagar,yes,Bagmane Tech Park,1.39,purple,2.29,yes,yes,True,Indiranagar,2.29,0-3km,77,Baiyyappanahalli Junction,2.66,26.1,51,85,43,12.9678074,77.6568367,9.32,Jeevan Bhimanagar,Karnataka,1,2022-05-06,2022-05-06,high,Jeevan Bhima Nagar,place/quarter,Jeevan Bima Nagar,2022,2022-04-13
Anantapura,Bangalore,north,none,Peenya,no,Karle Town Centre,9.32,green,9.87,no,no,True,Peenya,9.87,6km+,4,Yelahanka Junction,2.82,17.56,11,20,13,13.1150894,77.5679972,15.39,Doddabettahalli,Karnataka,2,2022-05-23,2022-06-04,high,Anantapura,place/neighbourhood,Anantapura,2022,2022-04-13
Ananth Nagar,Bangalore,south,under_construction,Yelachenahalli,yes,Electronic City,2.81,green,14.3,yes,no,False,Biocon Hebbagodi,1.01,0-3km,11,Heelalige,3.66,40.23,16,11,10,12.8362812,77.6869297,20.02,Kommasandra,Karnataka,1,2022-06-04,2022-06-04,low,Anantha Nagar Road,highway/tertiary,Ananth Nagar,2022,2022-04-13
Anjanapura,Bangalore,south,operational,Thalaghattapura,no,Global Village Tech Park,8.81,green,2.11,yes,yes,True,Thalaghattapura,2.11,6km+,1,Jnanabharati,9.55,40.99,12,4,2,12.8601312,77.5540587,13.1,,Karnataka,1,2022-06-13,2022-06-13,high,Anjanapura,place/suburb,Anjanapura,2022,2022-04-13
Annapurneshwari Nagar,Bangalore,west,operational,"Sir M. Visvesvaraya Stn., Central College",yes,IBC Knowledge Park,4.86,purple,0.41,yes,yes,True,"Sir M. Visvesvaraya Stn., Central College",0.41,3-6km,49,Krantivira Sangolli Rayanna (Bengaluru),2.05,27.95,83,60,22,12.9741713,77.5880263,1.83,Sampangirama Nagar,Karnataka,2,2022-05-05,2022-05-19,low,Annapurneshwari Canteen,amenity/restaurant,Annapurneshwari Nagar,2022,2022-04-13
"Aradhana Layout, Arakere",Bangalore,north,none,Nagasandra,no,Peenya Industrial Area,18.45,green,17.43,no,no,True,Chikkabidarakallu,17.33,6km+,0,Rajanukunte,4.06,18.13,1,0,0,13.2001117,77.5387874,25.09,,Karnataka,1,2022-06-27,2022-06-27,high,Arakere,place/village,Arakere,2022,2022-04-13
Arakere,Bangalore,south,none,Yelachenahalli,yes,IBC Knowledge Park,5.27,green,3.8,no,no,True,Jayadeva Hospital,3.5,3-6km,21,Krishnadevaraya Halt,10.66,36.45,53,27,27,12.8854515,77.6034249,10.73,,Karnataka,4,2022-05-23,2022-07-06,medium,Arakere,boundary/administrative,Arakere,2022,2022-04-13
"Arakere Mico Layout, Arakere",Bangalore,north,none,Nagasandra,no,Peenya Industrial Area,18.45,green,17.43,no,no,True,Chikkabidarakallu,17.33,6km+,0,Rajanukunte,4.06,18.13,1,0,0,13.2001117,77.5387874,25.09,,Karnataka,1,2022-07-06,2022-07-06,high,Arakere,place/village,Arakere,2022,2022-04-13
Ashok Nagar,Bangalore,south,operational,Mahatma Gandhi Road,yes,IBC Knowledge Park,4.14,purple,0.73,yes,yes,True,Mahatma Gandhi Road,0.73,3-6km,91,Bangalore Cantonment,2.96,27.46,96,55,47,12.9694359,77.6092319,4.19,Ashokanagar,Karnataka,1,2022-05-10,2022-05-10,high,Ashok Nagar,place/quarter,Ashok Nagar,2022,2022-04-13
Attibele,Bangalore,south,none,Yelachenahalli,no,Electronic City,14.0,green,25.44,no,no,True,Delta Electronics Bommasandra,10.09,6km+,0,Maranayakanahalli,6.68,47.15,3,8,0,12.7782588,77.7712834,30.93,,Karnataka,2,2022-05-27,2022-06-04,high,Attibele,place/town,Attibele,2022,2022-04-13
Attiguppe,Bangalore,west,operational,Attiguppe,yes,Global Village Tech Park,5.75,purple,0.49,yes,yes,True,Attiguppe,0.49,3-6km,10,Krishnadevaraya Halt,1.19,32.39,38,111,17,12.9628474,77.5291685,4.82,Attigupe,Karnataka,1,2022-06-04,2022-06-04,high,Attiguppe,place/quarter,Attiguppe,2022,2022-04-13
"Attur Layout, Yelahanka New Town",Bangalore,north,none,Goraguntepalya,no,Karle Town Centre,6.94,green,8.88,no,no,True,Goraguntepalya,8.88,6km+,7,Yelahanka Junction,1.41,17.51,35,72,22,13.0978039,77.5811889,13.51,Yelahanka Satellite Town,Karnataka,1,2022-06-04,2022-06-04,high,Yelahanka New Town,place/quarter,Yelahanka New Town,2022,2022-04-13
B.Narayanapura,Bangalore,east,under_construction,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,2.67,purple,3.61,yes,no,False,Krishnarajapura,0.81,0-3km,37,Krishnarajapuram,1.06,22.31,25,65,13,12.9980556,77.6848622,12.53,A Narayanapura,Karnataka,1,2022-06-10,2022-06-10,high,B. Narayanapura,place/quarter,B.Narayanapura,2022,2022-04-13
Babusahib Palya,Bangalore,north,none,Baiyappanahalli,yes,Manyata Tech Park,3.44,purple,4.19,no,no,True,Benniganahalli,4.04,3-6km,18,Channasandra,2.27,19.76,51,78,28,13.0283523,77.650469,10.32,Babusab Palya,Karnataka,1,2022-06-25,2022-06-25,high,Babusabpalya,place/neighbourhood,Babusahib Palya,2022,2022-04-13
Babusapalya,Bangalore,north,none,Baiyappanahalli,yes,Manyata Tech Park,3.44,purple,4.19,no,no,True,Benniganahalli,4.04,3-6km,18,Channasandra,2.27,19.76,51,78,28,13.0283523,77.650469,10.32,Babusab Palya,Karnataka,2,2022-06-06,2022-06-06,high,Babusabpalya,place/neighbourhood,Babusapalya,2022,2022-04-13
Bagalakunte,Bangalore,west,operational,Nagasandra,yes,Peenya Industrial Area,2.62,green,1.18,yes,yes,True,Nagasandra,1.18,0-3km,1,Chikka Banavara,2.05,26.7,17,17,2,13.0562928,77.506941,11.27,Bagalagunte,Karnataka,2,2022-05-01,2022-05-14,high,Bagalagunte,place/quarter,Bagalakunte,2022,2022-04-13
Bagalur,Bangalore,north,none,Baiyappanahalli,no,Manyata Tech Park,11.41,purple,15.94,no,no,True,Krishnarajapura,14.85,6km+,0,Doddajala,6.08,8.23,10,2,1,13.1331868,77.6687093,20.35,,Karnataka,1,2022-07-04,2022-07-04,high,Bagaluru,place/village,Bagalur,2022,2022-04-13
"Balaji Gardens Layout, Gottigere",Bangalore,south,none,Konanakunte Cross,no,Electronic City,8.41,green,4.52,no,no,True,Konanakunte Cross,4.52,6km+,3,Nayandahalli,11.87,40.04,41,4,7,12.8565317,77.5877237,13.48,Yelenahalli,Karnataka,1,2022-05-02,2022-05-02,high,Gottigere,place/suburb,Gottigere,2022,2022-04-13
"Balaji Layout -Hongasandra, Hongasandra",Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,4.64,green,5.55,yes,no,False,Hongasandra,0.88,3-6km,51,Carmelaram,8.82,34.51,63,30,15,12.8974892,77.6250869,10.56,Bommanahalli,Karnataka,1,2022-06-27,2022-06-27,high,Hongasandra,place/quarter,Hongasandra,2022,2022-04-13
Banashankari,Bangalore,west,operational,Banashankari,yes,IBC Knowledge Park,4.98,green,2.31,yes,yes,True,Banashankari,2.31,3-6km,26,Krishnadevaraya Halt,3.84,34.09,40,110,16,12.9278196,77.556621,5.66,Kathriguppe,Karnataka,5,2022-05-10,2022-06-19,high,Banashankari,place/suburb,Banashankari,2022,2022-04-13
"Banashankari Stage 2, Banashankari",Bangalore,west,operational,Banashankari,yes,IBC Knowledge Park,4.98,green,2.31,yes,yes,True,Banashankari,2.31,3-6km,26,Krishnadevaraya Halt,3.84,34.09,40,110,16,12.9278196,77.556621,5.66,Kathriguppe,Karnataka,2,2022-06-15,2022-06-27,high,Banashankari,place/suburb,Banashankari,2022,2022-04-13
"Banashankari Stage 3, Banashankari",Bangalore,west,operational,Banashankari,yes,IBC Knowledge Park,4.98,green,2.31,yes,yes,True,Banashankari,2.31,3-6km,26,Krishnadevaraya Halt,3.84,34.09,40,110,16,12.9278196,77.556621,5.66,Kathriguppe,Karnataka,2,2022-06-22,2022-06-27,high,Banashankari,place/suburb,Banashankari,2022,2022-04-13
Banaswadi,Bangalore,east,none,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,2.44,purple,2.6,no,no,True,Baiyappanahalli,2.6,0-3km,31,Channasandra,1.21,21.23,41,92,33,13.0141618,77.6518539,9.67,,Karnataka,7,2022-05-10,2022-06-22,high,Banaswadi,place/suburb,Banaswadi,2022,2022-04-13
Bangalore,Bangalore,west,operational,"Dr. B. R. Ambedkar Station, Vidhana Soudha",yes,IBC Knowledge Park,5.07,purple,0.27,yes,yes,True,"Dr. B. R. Ambedkar Station, Vidhana Soudha",0.27,3-6km,46,Bangalore Cantonment,2.07,27.59,88,71,30,12.9767936,77.590082,2.04,,Karnataka,1,2022-05-27,2022-05-27,medium,Bengaluru,place/city,Bangalore,2022,2022-04-13
Banjara Layout,Bangalore,east,none,Baiyappanahalli,yes,Manyata Tech Park,4.73,purple,5.47,no,no,True,Krishnarajapura,4.48,3-6km,14,Channasandra,2.95,18.26,24,19,7,13.0383011,77.6652515,12.27,Horamavu,Karnataka,1,2022-05-28,2022-05-28,medium,Banjara Layout,highway/bus_stop,Banjara Layout,2022,2022-04-13
Bannerghatta Main Road,Bangalore,south,none,Silk Institute,no,Electronic City,9.9,green,7.82,no,no,True,Silk Institute,7.82,6km+,0,Heelalige,14.01,44.85,9,1,0,12.8128571,77.5818631,18.25,Bannerughatta,Karnataka,5,2022-04-30,2022-07-06,low,Bannerghatta Main Road,highway/primary,Bannerghatta Main Road,2022,2022-04-13
Basava Nagar,Bangalore,east,under_construction,Baiyappanahalli,yes,ITPL Whitefield,3.21,purple,7.21,yes,no,False,Hoodi,1.95,3-6km,39,Hoodi,1.08,21.4,25,29,7,13.0054071,77.7172101,16.13,Basavanapura,Karnataka,3,2022-06-12,2022-06-16,high,Bethel Nagar,place/neighbourhood,Basava Nagar,2022,2022-04-13
Basavanagudi,Bangalore,south,operational,South End Circle,yes,IBC Knowledge Park,3.07,green,0.63,yes,yes,True,South End Circle,0.63,3-6km,45,Krantivira Sangolli Rayanna (Bengaluru),4.1,31.78,87,146,23,12.9417261,77.5755021,3.92,Sunkenahalli,Karnataka,3,2022-05-23,2022-07-07,high,Basavanagudi,place/suburb,Basavanagudi,2022,2022-04-13
Basavanapura,Bangalore,east,under_construction,Baiyappanahalli,yes,ITPL Whitefield,4.01,purple,6.66,yes,no,False,Garudacharpalya,1.93,3-6km,37,Hoodi,1.75,20.94,32,51,5,13.0093485,77.7108379,15.55,,Karnataka,1,2022-05-19,2022-05-19,medium,Basavanapura,boundary/administrative,Basavanapura,2022,2022-04-13
Basaveshvara Nagar,Bangalore,west,operational,Rajajinagar,yes,Peenya Industrial Area,5.16,green,1.37,yes,yes,True,Rajajinagar,1.37,3-6km,10,Malleswaram,2.75,29.0,61,99,18,12.9937572,77.5391325,3.97,Kethamaranahalli,Karnataka,3,2022-05-15,2022-06-01,high,Basaveshwaranagar,place/suburb,Basaveshvara Nagar,2022,2022-04-13
Basaveshwar Nagar,Bangalore,south,operational,Mahatma Gandhi Road,yes,Embassy Golf Links,4.46,purple,0.41,yes,yes,True,Mahatma Gandhi Road,0.41,3-6km,87,Bangalore Cantonment,2.62,27.1,94,58,48,12.9728678,77.6094161,4.15,Ashokanagar,Karnataka,4,2022-05-05,2022-06-04,low,Basaveshwar Khanavali,amenity/restaurant,Basaveshwar Nagar,2022,2022-04-13
Basaveshwara Layout,Bangalore,west,operational,Rajajinagar,yes,Peenya Industrial Area,4.86,green,0.93,yes,yes,True,Rajajinagar,0.93,3-6km,7,Malleswaram,2.4,28.47,64,99,17,12.9980709,77.5414636,4.01,Basaveshwara Nagara,Karnataka,1,2022-05-19,2022-05-19,high,Bhimajyothi LIC HBCS Layout,place/neighbourhood,Basaveshwara Layout,2022,2022-04-13
Battarahalli,Bangalore,east,none,Baiyappanahalli,no,ITPL Whitefield,13.9,purple,23.11,no,no,True,Whitefield (Kadugodi),12.15,6km+,0,Devangonthi,4.63,31.66,0,0,0,12.9570589,77.86279,31.66,Somalapura,Karnataka,3,2022-05-24,2022-06-27,high,Banarahalli,place/hamlet,Battarahalli,2022,2022-04-13
BBMP convertion layout,Bangalore,north,none,Sandal Soap Factory,yes,Karle Town Centre,2.36,green,4.86,no,no,True,Sandal Soap Factory,4.86,0-3km,22,Hebbal,1.24,21.84,45,35,29,13.0343459,77.5940293,6.87,Hebbal,Karnataka,1,2022-06-20,2022-06-20,low,BBMP Amarjyothi Layout Park,leisure/park,BBMP convertion layout,2022,2022-04-13
Bda Layout -Lingarajapuram,Bangalore,east,none,Indiranagar,yes,Bagmane Tech Park,1.91,purple,2.82,no,no,True,Indiranagar,2.82,0-3km,123,Baiyyappanahalli Junction,3.33,26.7,39,62,35,12.9619868,77.6585404,9.59,Jeevan Bhimanagar,Karnataka,1,2022-07-06,2022-07-06,high,BDA Layout,place/neighbourhood,Bda Layout -Lingarajapuram,2022,2022-04-13
"Bedarahalli, Magadi Road",Bangalore,west,operational,Magadi Road,no,IBC Knowledge Park,6.97,purple,0.0,yes,yes,True,Magadi Road,0.0,6km+,20,Krantivira Sangolli Rayanna (Bengaluru),1.56,29.6,58,108,18,12.9756527,77.5553548,1.73,Gopalpura,Karnataka,1,2022-06-15,2022-06-15,medium,Magadi Road,railway/stop,Bedarahalli Magadi Road,2022,2022-04-13
Begur,Bangalore,south,under_construction,Yelachenahalli,yes,Electronic City,5.36,green,6.18,yes,no,False,Kudlu Gate,2.46,3-6km,24,Huskuru,9.65,37.02,30,12,9,12.8747465,77.6227293,12.63,Yelenahalli,Karnataka,3,2022-05-18,2022-07-04,high,Beguru,place/suburb,Begur,2022,2022-04-13
Begur Koppa Rd,Bangalore,south,none,Yelachenahalli,yes,Electronic City,5.39,green,6.23,no,no,True,Singasandra,3.45,3-6km,14,Huskuru,10.07,38.25,15,6,5,12.864612,77.6176842,13.44,Yelenahalli,Karnataka,1,2022-05-27,2022-05-27,low,Begur-Koppa Road,highway/secondary,Begur Koppa Rd,2022,2022-04-13
Begur Road,Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,4.64,green,5.64,yes,no,False,Hongasandra,0.7,3-6km,51,Carmelaram,8.66,34.38,61,29,17,12.8983227,77.6264786,10.57,Hongasandra,Karnataka,2,2022-06-20,2022-06-20,low,Begur Road,highway/secondary,Begur Road,2022,2022-04-13
Benson Town,Bangalore,north,operational,Cubbon Park,yes,Manyata Tech Park,5.27,purple,1.94,yes,yes,True,Cubbon Park,1.94,3-6km,42,Bangalore Cantonment,0.74,24.88,60,62,32,12.997343,77.6036815,4.19,Jayamahal,Karnataka,1,2022-07-09,2022-07-09,high,Benson Town,place/quarter,Benson Town,2022,2022-04-13
Bettadasanapura,Bangalore,south,none,Yelachenahalli,yes,Electronic City,3.65,green,9.02,no,no,True,Beratena Agrahara,3.69,3-6km,11,Huskuru,8.71,40.34,9,3,2,12.8420404,77.6322514,16.37,Vittasandra,Karnataka,1,2022-06-11,2022-06-11,high,Bettadasanpura,place/neighbourhood,Bettadasanapura,2022,2022-04-13
Bhattarahalli,Bangalore,east,none,Baiyappanahalli,yes,ITPL Whitefield,5.24,purple,7.76,no,no,True,Garudacharpalya,3.78,3-6km,10,Hoodi,3.37,19.12,24,11,1,13.0258004,77.714279,16.42,Bhattarahalli,Karnataka,1,2022-06-25,2022-06-25,high,Bhattarahalli,place/neighbourhood,Bhattarahalli,2022,2022-04-13
"Bhel Layout, Rajarajeshwari Nagar",Bangalore,west,operational,Jnanabharathi,yes,Global Village Tech Park,1.88,purple,0.95,yes,yes,True,Jnanabharathi,0.95,0-3km,6,Jnanabharati,0.98,36.46,26,11,9,12.9274413,77.5155224,8.16,Rajarajeshwari Nagara,Karnataka,1,2022-05-20,2022-05-20,high,Rajarajeshwari Nagar,place/suburb,Rajarajeshwari Nagar,2022,2022-04-13
"Bhel Township- Malleshwaram, Malleshwaram",Bangalore,west,operational,Srirampura,no,Karle Town Centre,6.54,green,1.04,yes,yes,True,Srirampura,1.04,6km+,16,Malleswaram,0.78,26.19,97,99,31,13.0027353,77.5703253,2.9,Malleshwaram,Karnataka,2,2022-07-06,2022-07-06,high,Malleswaram,place/suburb,Malleshwaram,2022,2022-04-13
Bhuvaneswari Nagar,Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,1.69,green,6.68,no,no,True,Yeshwantpur,6.68,0-3km,19,Hebbal,2.22,19.46,22,56,23,13.0547459,77.6024403,9.31,Byatarayanapura,Karnataka,1,2022-07-04,2022-07-04,low,Bhuvaneswari Nagar Park,leisure/park,Bhuvaneswari Nagar,2022,2022-04-13
"Bikasipura, kanakapura Road",Bangalore,south,operational,South End Circle,yes,IBC Knowledge Park,2.96,green,0.53,yes,yes,True,South End Circle,0.53,0-3km,43,Krishnadevaraya Halt,4.58,32.25,90,153,27,12.9370753,77.5753487,4.43,Yediyuru,Karnataka,2,2022-05-05,2022-05-10,low,Kanakapura Road,highway/primary,Bikasipura kanakapura Road,2022,2022-04-13
Bilal Nagar-Sagayapura,Bangalore,north,operational,Cubbon Park,yes,IBC Knowledge Park,5.8,purple,0.67,yes,yes,True,Cubbon Park,0.67,3-6km,50,Bangalore Cantonment,1.07,26.19,88,50,44,12.984955,77.6022466,3.48,Vasanth Nagar,Karnataka,1,2022-05-27,2022-05-27,low,Bilal Bakery,shop/bakery,Bilal Nagar-Sagayapura,2022,2022-04-13
Bilekahalli,Bangalore,south,under_construction,Jaya Prakash Nagar,yes,IBC Knowledge Park,3.93,green,3.98,yes,no,False,BTM Layout,2.07,3-6km,56,Krantivira Sangolli Rayanna (Bengaluru),9.87,34.95,58,50,36,12.8979703,77.6085699,9.64,Bilekahalli,Karnataka,5,2022-05-10,2022-07-04,high,Bilekahalli,place/quarter,Bilekahalli,2022,2022-04-13
"Bohra Layout, Gottigere, bannerghatta main Road",Bangalore,south,none,Konanakunte Cross,no,Electronic City,8.41,green,4.52,no,no,True,Konanakunte Cross,4.52,6km+,3,Nayandahalli,11.87,40.04,41,4,7,12.8565317,77.5877237,13.48,Yelenahalli,Karnataka,1,2022-05-23,2022-05-23,high,Gottigere,place/suburb,Gottigere,2022,2022-04-13
Bommanahalli,Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,3.54,green,4.94,yes,no,False,Bommanahalli,0.34,3-6km,52,Carmelaram,8.88,33.31,81,59,33,12.9089453,77.6239038,9.45,Kodi Chikkanahalli,Karnataka,8,2022-05-19,2022-07-07,high,Bommanahalli,place/quarter,Bommanahalli,2022,2022-04-13
Bommasandra,Bangalore,south,under_construction,Yelachenahalli,yes,Electronic City,4.71,green,15.88,yes,no,False,Delta Electronics Bommasandra,0.5,3-6km,10,Heelalige,2.14,42.43,6,11,1,12.8162443,77.6916113,22.1,Kittaganahalli,Karnataka,2,2022-05-18,2022-07-04,high,Bommasandra,place/suburb,Bommasandra,2022,2022-04-13
Btm Layout,Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,2.26,green,3.37,yes,no,False,BTM Layout,0.37,0-3km,63,Krantivira Sangolli Rayanna (Bengaluru),8.39,33.2,86,82,40,12.9140008,77.6102821,8.15,Viswamanava Kuvempu Ward,Karnataka,7,2022-05-05,2022-06-04,high,BTM Layout,place/suburb,Btm Layout,2022,2022-04-13
"Btm Layout Stage 2, BTM Layout",Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,2.26,green,3.37,yes,no,False,BTM Layout,0.37,0-3km,63,Krantivira Sangolli Rayanna (Bengaluru),8.39,33.2,86,82,40,12.9140008,77.6102821,8.15,Viswamanava Kuvempu Ward,Karnataka,3,2022-05-12,2022-07-06,high,BTM Layout,place/suburb,BTM Layout,2022,2022-04-13
Btm Layout Stage 4,Bangalore,south,under_construction,Rashtreeya Vidyalaya Road,yes,IBC Knowledge Park,2.18,green,2.88,yes,no,False,BTM Layout,0.45,0-3km,62,Krantivira Sangolli Rayanna (Bengaluru),8.18,33.43,92,86,41,12.9134477,77.605435,7.95,Viswamanava Kuvempu Ward,Karnataka,2,2022-06-06,2022-06-08,low,BTM Vet Clinic,amenity/veterinary,Btm Layout Stage 4,2022,2022-04-13
Budigere Cross,Bangalore,east,none,Baiyappanahalli,no,ITPL Whitefield,7.0,purple,12.27,no,no,True,Whitefield (Kadugodi),5.69,6km+,0,Whitefield,5.69,17.47,11,0,1,13.0463995,77.7502058,20.87,Konadasanapura,Karnataka,1,2022-05-24,2022-05-24,medium,Budigere Cross,highway/bus_stop,Budigere Cross,2022,2022-04-13
Byatarayanapura,Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,3.44,green,6.64,no,no,True,Yeshwantpur,6.64,3-6km,21,Kodigehalli,1.79,19.11,25,52,27,13.0666526,77.591967,10.25,Byatarayanapura,Karnataka,3,2022-05-23,2022-06-07,high,Byatarayanapura,place/neighbourhood,Byatarayanapura,2022,2022-04-13
"Bydara Halli, Benson Town",Bangalore,north,operational,Cubbon Park,yes,Manyata Tech Park,5.27,purple,1.94,yes,yes,True,Cubbon Park,1.94,3-6km,42,Bangalore Cantonment,0.74,24.88,60,62,32,12.997343,77.6036815,4.19,Jayamahal,Karnataka,1,2022-05-23,2022-05-23,high,Benson Town,place/quarter,Bydara Halli Benson Town,2022,2022-04-13
Byrathi,Bangalore,north,none,Baiyappanahalli,yes,Manyata Tech Park,3.69,purple,7.29,no,no,True,Krishnarajapura,6.86,3-6km,17,Channasandra,5.08,16.76,31,6,9,13.0563529,77.6520993,12.45,Byrathi,Karnataka,3,2022-05-05,2022-06-29,high,Byrathi,place/neighbourhood,Byrathi,2022,2022-04-13
C V Raman Nagar,Bangalore,east,operational,Baiyappanahalli,yes,Bagmane Tech Park,0.81,purple,1.48,yes,yes,True,Benniganahalli,1.26,0-3km,54,Baiyyappanahalli Junction,1.56,23.99,27,47,23,12.9856478,77.6649767,10.2,Nagavarapalya,Karnataka,7,2022-05-05,2022-07-06,high,C V Raman Nagar,place/suburb,C V Raman Nagar,2022,2022-04-13
